2018-01-19 19:38:19:662	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:664	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:665	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:667	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:668	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:669	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:751	00 00 00 09 00 d3 bd bd 00 00 00 00 00 00 00 
2018-01-19 19:38:19:753	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:754	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:756	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:757	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:759	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:761	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:762	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:764	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:765	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:767	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:768	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:769	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:851	00 00 00 0a 00 d3 be 21 00 00 00 00 00 00 00 
2018-01-19 19:38:19:853	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:854	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:856	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:857	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:859	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:861	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:862	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:864	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:865	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:867	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:868	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:869	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:951	00 00 00 0b 00 d3 be 85 00 00 00 00 00 00 00 
2018-01-19 19:38:19:953	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:954	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:956	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:957	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:959	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:961	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:962	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:964	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:965	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:967	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:968	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:19:969	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:605	00 00 00 01 00 d3 c4 fa 00 00 00 00 00 00 00 
2018-01-19 19:38:21:606	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:607	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:609	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:610	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:612	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:614	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:615	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:617	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:618	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:620	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:621	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:622	00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:704	00 00 00 02 00 d3 c5 5e 00 00 00 00 00 00 00 
2018-01-19 19:38:21:706	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:707	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:709	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:710	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 19:38:21:712	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
